circuit,task,head_i,head_j,layer_i,layer_j,layer_dist,walsh_coeff,abs_walsh,ov_overlap,qk_comp,q_comp_ij,q_comp_ji,k_comp_ij,k_comp_ji,mean_principal_angle,faithfulness
rti_C6_epistatic,rti,L0H3,L2H11,0,2,2,0.0007539134298042427,0.0007539134298042427,0.03672068193554878,0.03530074283480644,0.03530074283480644,0.0,0.027557799592614174,0.0,1.4802088737487793,2.6196567434817553
rti_C6_epistatic,rti,L9H9,L1H11,9,1,8,0.004456257269936259,0.004456257269936259,0.02015095017850399,0.05108058080077171,0.0,0.03252224996685982,0.0,0.05108058080077171,1.526082992553711,2.6196567434817553
rti_C6_epistatic,rti,L9H9,L9H6,9,9,0,0.0019292134768704727,0.0019292134768704727,0.03653208538889885,0.0,0.0,0.0,0.0,0.0,1.5014503002166748,2.6196567434817553
rti_C6_epistatic,rti,L9H9,L2H2,9,2,7,0.038098897017079025,0.038098897017079025,0.04111912474036217,0.056324221193790436,0.0,0.036352746188640594,0.0,0.056324221193790436,1.5070034265518188,2.6196567434817553
rti_C6_epistatic,rti,L9H9,L5H6,9,5,4,0.018960743995847906,0.018960743995847906,0.03525397926568985,0.06702766567468643,0.0,0.03529113158583641,0.0,0.06702766567468643,1.5251026153564453,2.6196567434817553
rti_C6_epistatic,rti,L9H9,L2H11,9,2,7,-0.00024173859694087696,0.00024173859694087696,0.02457806095480919,0.0449102520942688,0.0,0.0449102520942688,0.0,0.03941693902015686,1.512658953666687,2.6196567434817553
rti_C6_epistatic,rti,L1H11,L9H6,1,9,8,-0.0017847352038131703,0.0017847352038131703,0.024632273241877556,0.05061045661568642,0.033944692462682724,0.0,0.05061045661568642,0.0,1.509907603263855,2.6196567434817553
rti_C6_epistatic,rti,L1H11,L2H2,1,2,1,0.003223104304510116,0.003223104304510116,0.03927689045667648,0.029719118028879166,0.029719118028879166,0.0,0.01956789195537567,0.0,1.4745389223098755,2.6196567434817553
rti_C6_epistatic,rti,L1H11,L5H6,1,5,4,0.000988550842606628,0.000988550842606628,0.030505148693919182,0.05420113727450371,0.05420113727450371,0.0,0.05098382756114006,0.0,1.4903147220611572,2.6196567434817553
rti_C6_epistatic,rti,L1H11,L2H11,1,2,1,0.0029272582704891192,0.0029272582704891192,0.04629956930875778,0.05108141154050827,0.05108141154050827,0.0,0.03301876783370972,0.0,1.4632632732391357,2.6196567434817553
